"Identificador do processo de viagem";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço"
"0000000000015745749";"Aéreo";"Brasil";"São Paulo";"Araçatuba";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";",00";",00"
"0000000000015745749";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"São Paulo";"Araçatuba";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1590,86";",00"
"0000000000015745924";"Aéreo";"Brasil";"Paraná";"Curitiba";"Brasil";"São Paulo";"São Paulo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Paraná";"Curitiba";"352,34";",49"
"0000000000015746359";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"1710,56";",00"
"0000000000015747921";"Aéreo";"Portugal";"";"Lisboa";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"3642,17";",00"
"0000000000015747994";"Aéreo";"Portugal";"";"Lisboa";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"3642,17";",00"
"0000000000015749151";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"730,27";",00"
"0000000000015749151";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"574,49";",00"
"0000000000015749539";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Santa Catarina";"Florianópolis";"Brasil";"Santa Catarina";"Florianópolis";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"752,15";",00"
"0000000000015751390";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"200,17";",00"
